Location,Date,Morning Forecast,Afternoon Forecast,Night Forecast,Summary Forecast,Summary When,Min Temperature (°C),Max Temperature (°C),Energy Output
Pekan,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,33,36.5
Pekan,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Pekan,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Pekan,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Pekan,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,33,56.5
Tampin,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,36.5
Tampin,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,36.5
Tampin,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Tampin,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Tampin,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,33,86.5
Tampin,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,36.5
Tampin,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Melaka Tengah,2024-07-08,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Melaka Tengah,2024-07-07,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Melaka Tengah,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Melaka Tengah,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Melaka Tengah,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Melaka Tengah,2024-07-03,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Sepanjang Hari,24,33,86.5
Melaka Tengah,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,56.5
Jasin,2024-07-08,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Jasin,2024-07-07,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,34,87.0
Jasin,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Jasin,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Jasin,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Jasin,2024-07-03,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Sepanjang Hari,24,34,87.0
Jasin,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,57.0
Rompin,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Rompin,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Rompin,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,33,36.5
Rompin,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Rompin,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Rompin,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Rompin,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,33,36.5
Tangkak,2024-07-08,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Tangkak,2024-07-07,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Tangkak,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Tangkak,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Tangkak,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Tangkak,2024-07-03,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Sepanjang Hari,23,33,86.5
Tangkak,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Segamat,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Segamat,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Segamat,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Segamat,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Segamat,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Segamat,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,33,36.5
Segamat,2024-07-02,Tiada hujan,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Muar,2024-07-08,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,34,87.0
Muar,2024-07-07,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,34,87.0
Muar,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Muar,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,33,86.5
Muar,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Muar,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,36.5
Muar,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Batu Pahat,2024-07-08,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Batu Pahat,2024-07-07,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Batu Pahat,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Batu Pahat,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,24,33,86.5
Batu Pahat,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,24,33,86.5
Batu Pahat,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,24,33,36.5
Batu Pahat,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Kluang,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,37.0
Kluang,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,37.0
Kluang,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kluang,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kluang,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Kluang,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,33,36.5
Kluang,2024-07-02,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,56.5
Mersing,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,37.0
Mersing,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,37.0
Mersing,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,36.5
Mersing,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Mersing,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Mersing,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,33,36.5
Mersing,2024-07-02,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,56.5
Pontian,2024-07-08,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Pontian,2024-07-07,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Pontian,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Pontian,2024-07-05,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,34,87.0
Pontian,2024-07-04,Ribut petir di beberapa tempat,Tiada hujan,Tiada hujan,Ribut petir di beberapa tempat,Pagi,23,34,87.0
Pontian,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Petang dan Malam,23,33,36.5
Pontian,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Kulai,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,34,37.0
Kulai,2024-07-07,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Kulai,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Kulai,2024-07-05,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Kulai,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,33,86.5
Kulai,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,32,36.0
Kulai,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,32,56.0
Kota Tinggi,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kota Tinggi,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kota Tinggi,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,23,33,36.5
Kota Tinggi,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kota Tinggi,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,23,33,36.5
Kota Tinggi,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,32,36.0
Kota Tinggi,2024-07-02,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,32,56.0
Johor Bahru,2024-07-08,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Johor Bahru,2024-07-07,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Johor Bahru,2024-07-06,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Johor Bahru,2024-07-05,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Johor Bahru,2024-07-04,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,23,34,87.0
Johor Bahru,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Ribut petir di kebanyakan tempat,Petang dan Malam,23,32,36.0
Johor Bahru,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,32,56.0
Tebedu,2024-07-08,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Hujan di beberapa tempat,Malam,24,33,36.5
Tebedu,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Tebedu,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Tebedu,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Tebedu,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Tebedu,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Tebedu,2024-07-02,Hujan di kebanyakan tempat,Tiada hujan,Tiada hujan,Hujan di kebanyakan tempat,Pagi,24,33,
Bau,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,24,33,56.5
Bau,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Bau,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Bau,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Bau,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Bau,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Bau,2024-07-02,Hujan di kebanyakan tempat,Hujan di kebanyakan tempat,Tiada hujan,Hujan di kebanyakan tempat,Pagi dan Petang,24,33,
Lundu,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,24,33,56.5
Lundu,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Lundu,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Lundu,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Lundu,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Lundu,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Lundu,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Kuching,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,24,33,56.5
Kuching,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Kuching,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Kuching,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Kuching,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Kuching,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Kuching,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Serian,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Hujan di beberapa tempat,Pagi dan Malam,24,33,56.5
Serian,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Serian,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Serian,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Serian,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Serian,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Serian,2024-07-02,Hujan di kebanyakan tempat,Hujan di beberapa tempat,Tiada hujan,Hujan di kebanyakan tempat,Pagi dan Petang,24,33,
Samarahan,2024-07-08,Hujan di kebanyakan tempat,Ribut petir,Hujan di beberapa tempat,Ribut petir,Petang,24,33,
Samarahan,2024-07-07,Hujan di beberapa tempat,Ribut petir,Tiada hujan,Ribut petir,Petang,24,33,56.5
Samarahan,2024-07-06,Tiada hujan,Ribut petir,Tiada hujan,Ribut petir,Petang,24,33,36.5
Samarahan,2024-07-05,Hujan di kebanyakan tempat,Ribut petir,Tiada hujan,Ribut petir,Petang,24,33,
Samarahan,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Samarahan,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Samarahan,2024-07-02,Hujan di beberapa tempat,Hujan di kebanyakan tempat,Tiada hujan,Hujan di kebanyakan tempat,Pagi dan Petang,24,33,56.5
Asajaya,2024-07-08,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,56.5
Asajaya,2024-07-07,Tiada hujan,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Asajaya,2024-07-06,Tiada hujan,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Asajaya,2024-07-05,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Petang,24,33,56.5
Asajaya,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Asajaya,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Asajaya,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Simunjan,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,24,33,56.5
Simunjan,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Simunjan,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Simunjan,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,56.5
Simunjan,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Simunjan,2024-07-03,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,24,33,36.5
Simunjan,2024-07-02,Hujan di beberapa tempat,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Pagi dan Petang,24,33,56.5
Sri Aman,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Sri Aman,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Sri Aman,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Sri Aman,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Sri Aman,2024-07-04,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Hujan di beberapa tempat,Malam,24,33,36.5
Sri Aman,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Sri Aman,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Pusa,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Pusa,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Pusa,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Pusa,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Pusa,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Pusa,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Pusa,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Betong,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Betong,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Betong,2024-07-06,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Betong,2024-07-05,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Betong,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Betong,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Betong,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Saratok,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-03,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,24,33,36.5
Saratok,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Kabong,2024-07-08,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
Kabong,2024-07-07,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,24,33,36.5
